category_title,source,domain_and_series,source_line,legacy_rejection_basis_seed,required_v16_2_6_action
"Most cheese from milk of sheep, fresh or processed produced",FAOSTAT,Livestock · QCL:'22253:5510,1472,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most palm oil produced,FAOSTAT,Agriculture · QCL:'2165:5510,1473,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most cheese from milk of goats, fresh or processed produced",FAOSTAT,Livestock · QCL:'22254:5510,1474,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Kiwi fruit harvested area,FAOSTAT,Fruit · QCL:'01352:5312,1475,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most kiwi fruit produced,FAOSTAT,Fruit · QCL:'01352:5510,1476,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Chestnuts, in shell harvested area",FAOSTAT,Agriculture · QCL:'01373:5312,1477,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most chestnuts, in shell produced",FAOSTAT,Agriculture · QCL:'01373:5510,1478,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most eggs from other birds in shell, fresh, n.e.c. produced",FAOSTAT,Agriculture · QCL:'0232:5513,1479,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other meat of mammals, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21119.90:5510,1480,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Castor oil seeds yield,FAOSTAT,Agriculture · QCL:'01447:5412,1481,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest mapped land area,Natural Earth,Geography · largest-geodesic-land-area,1483,duplicate_explicit,preserve exclusion unless duplicate target is removed or concept materially differs
Highest universal-health-coverage score,WHO,Healthcare · UHC_AVAILABILITY_SCORE,1488,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest average rainfall,World Bank,Climate · AG.LND.PRCP.MM,1492,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net bilateral aid flows from DAC donors, Korea, Rep.",World Bank,Economy · DC.DAC.KORL.CD,1501,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest broad money,World Bank,Economy · FM.LBL.BMNY.CN,1503,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, France",World Bank,Economy · DC.DAC.FRAL.CD,1505,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest Other citrus fruit, n.e.c. yield",FAOSTAT,Fruit · QCL:'01329:5412,1514,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most edible roots and tubers with high starch or inulin content, n.e.c., fresh produced",FAOSTAT,Agriculture · QCL:'01599.10:5510,1515,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Geese stocks,FAOSTAT,Agriculture · QCL:'02153:5112,1516,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most cheese from skimmed cow milk produced,FAOSTAT,Dairy · QCL:'22251.02:5510,1517,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most eggs from other birds in shell, fresh, n.e.c. produced",FAOSTAT,Agriculture · QCL:'0232:5510,1518,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Castor oil seeds harvested area,FAOSTAT,Agriculture · QCL:'01447:5312,1519,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw yield",FAOSTAT,Agriculture · QCL:'01654:5412,1520,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Mixed grain harvested area,FAOSTAT,Agriculture · QCL:'01199.02:5312,1521,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most mixed grain produced,FAOSTAT,Agriculture · QCL:'01199.02:5510,1522,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Raw milk of camel milk-producing animals,FAOSTAT,Livestock · QCL:'02293:5318,1523,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net official flows from UN agencies, ILO",World Bank,Economy · DT.NFL.ILOG.CD,1528,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, FAO",World Bank,Economy · DT.NFL.FAOG.CD,1529,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Sweden",World Bank,Economy · DC.DAC.SWEL.CD,1531,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Most oil of palm kernel produced,FAOSTAT,Agriculture · QCL:'21691.14:5510,1539,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most palm kernels produced,FAOSTAT,Agriculture · QCL:'01491.02:5510,1540,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most olive oil produced,FAOSTAT,Agriculture · QCL:'2167:5510,1541,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most castor oil seeds produced,FAOSTAT,Agriculture · QCL:'01447:5510,1542,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Hop cones harvested area,FAOSTAT,Agriculture · QCL:'01659:5312,1543,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw harvested area",FAOSTAT,Agriculture · QCL:'01654:5312,1544,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw produced",FAOSTAT,Agriculture · QCL:'01654:5510,1545,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most hop cones produced,FAOSTAT,Agriculture · QCL:'01659:5510,1546,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest youth NEET rate,ILOSTAT,Labor · EIP_NEET_SEX_RT_A,1547,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest outbound student mobility,UNESCO UIS,Education · MOR.5T8.40505,1548,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net bilateral aid flows from DAC donors, United Kingdom",World Bank,Economy · DC.DAC.GBRL.CD,1551,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Italy",World Bank,Economy · DC.DAC.ITAL.CD,1552,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Australia",World Bank,Economy · DC.DAC.AUSL.CD,1553,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest broad money to total reserves ratio,World Bank,Economy · FM.LBL.BMNY.IR.ZS,1554,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, UNICEF",World Bank,Economy · DT.NFL.UNCF.CD,1555,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest carbon dioxide (CO2) net fluxes from LULUCF - Other Land,World Bank,Environment · EN.GHG.CO2.LU.OL.MT.CE.AR5,1557,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net official flows from UN agencies, UNFPA",World Bank,Economy · DT.NFL.UNFP.CD,1559,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Most raw milk of buffalo produced,FAOSTAT,Livestock · QCL:'02212:5510,1564,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of geese, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21123:5321,1565,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Lupins yield,FAOSTAT,Agriculture · QCL:'01709.02:5412,1566,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net bilateral aid flows from DAC donors, Switzerland",World Bank,Economy · DC.DAC.CHEL.CD,1584,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Austria",World Bank,Economy · DC.DAC.AUTL.CD,1585,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest carbon dioxide (CO2) emissions from Waste,World Bank,Environment · EN.GHG.CO2.WA.MT.CE.AR5,1587,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest external debt stocks, private nonguaranteed (PNG)",World Bank,Economy · DT.DOD.DPNG.CD,1588,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA public sector management and institutions cluster average,World Bank,Climate · IQ.CPA.PUBS.XQ,1589,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Most whey, condensed produced",FAOSTAT,Agriculture · QCL:'22130.03:5510,1591,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest True hemp, raw or retted harvested area",FAOSTAT,Agriculture · QCL:'01929.02:5312,1592,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Chestnuts, in shell yield",FAOSTAT,Agriculture · QCL:'01373:5412,1593,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Kiwi fruit yield,FAOSTAT,Fruit · QCL:'01352:5412,1594,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest diabetes death rate,WHO,Health · SA_0000001440,1602,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest labor underutilization,ILOSTAT,Labor · LUU_XLU2_SEX_RT_A,1603,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Lowest time-related underemployment,ILOSTAT,Labor · EMP_XTRU_SEX_RT_A,1604,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest revenue, excluding grants",World Bank,Government · GC.REV.XGRT.CN,1605,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest tax revenue,World Bank,Government · GC.TAX.TOTL.CN,1606,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest taxes on goods and services,World Bank,Government · GC.TAX.GSRV.CN,1607,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest compensation of employees,World Bank,Government · GC.XPN.COMP.CN,1609,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest goods and services expense,World Bank,Government · GC.XPN.GSRV.CN,1610,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest interest payments,World Bank,Government · GC.XPN.INTP.CN,1611,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest subsidies and other transfers,World Bank,Government · GC.XPN.TRFT.CN,1612,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest container port traffic,World Bank,Infrastructure · IS.SHP.GOOD.TU,1615,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Poland",World Bank,Economy · DC.DAC.POLL.CD,1617,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest deposit interest rate,World Bank,Economy · FR.INR.DPST,1621,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest lending interest rate,World Bank,Economy · FR.INR.LEND,1622,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest methane (CH4) emissions from Industrial Processes,World Bank,Environment · EN.GHG.CH4.IP.MT.CE.AR5,1623,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA economic management cluster average,World Bank,Government · IQ.CPA.ECON.XQ,1624,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA policies for social inclusion/equity cluster average,World Bank,Government · IQ.CPA.SOCI.XQ,1625,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Most raw milk of camel produced,FAOSTAT,Livestock · QCL:'02293:5510,1628,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Buffalo fat, unrendered producing animals",FAOSTAT,Livestock · QCL:'21513:5320,1629,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Edible offal of buffalo, fresh, chilled or frozen producing animals",FAOSTAT,Livestock · QCL:'21152:5320,1630,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of buffalo, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21112:5320,1631,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Raw hides and skins of buffaloes producing animals,FAOSTAT,Livestock · QCL:'02951.03:5320,1632,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Artichokes yield,FAOSTAT,Agriculture · QCL:'01216:5412,1633,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Hop cones yield,FAOSTAT,Agriculture · QCL:'01659:5412,1634,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest primary-school repetition rate,UNESCO UIS,Education · REPR.1.G1.CP,1636,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest share of women in management,ILOSTAT,Labor · SDG_0552_NOC_RT_A,1637,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest school internet access,UNESCO UIS,Technology · SCHBSP.1.WINTERN,1638,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest net investment in nonfinancial assets,World Bank,Government · GC.NFN.TOTL.CN,1641,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest other expense,World Bank,Government · GC.XPN.OTHR.CN,1643,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest taxes on income, profits and capital gains",World Bank,Government · GC.TAX.YPKG.CN,1645,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, IAEA",World Bank,Economy · DT.NFL.IAEA.CD,1646,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Spain",World Bank,Economy · DC.DAC.ESPL.CD,1647,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest changes in inventories,World Bank,Economy · NE.GDI.STKB.KN,1649,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest borrowers from commercial banks,World Bank,Economy · FB.CBK.BRWR.P3,1650,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest depositors with commercial banks,World Bank,Economy · FB.CBK.DPTR.P3,1651,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net financial flows, RDB concessional",World Bank,Economy · DT.NFL.RDBC.CD,1652,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest interest rate spread,World Bank,Economy · FR.INR.LNDP,1653,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA structural policies cluster average,World Bank,Government · IQ.CPA.STRC.XQ,1654,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest market capitalization of listed domestic companies,World Bank,Economy · CM.MKT.LCAP.CD,1656,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest listed domestic companies, total",World Bank,Economy · CM.MKT.LDOM.NO,1658,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest Raw milk of camel yield,FAOSTAT,Livestock · QCL:'02293:5417,1663,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most true hemp, raw or retted produced",FAOSTAT,Agriculture · QCL:'01929.02:5510,1664,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of buffalo, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21112:5417,1665,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Pigeon peas, dry yield",FAOSTAT,Livestock · QCL:'01707:5412,1666,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most pigeon peas, dry produced",FAOSTAT,Livestock · QCL:'01707:5510,1667,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest school computer access,UNESCO UIS,Technology · SCHBSP.1.WCOMPUT,1671,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest cancer death rate,WHO,Health · SA_0000001438,1672,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest informal-employment rate,ILOSTAT,Labor · EMP_NIFL_SEX_RT_A,1673,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest iFC, private nonguaranteed",World Bank,Economy · DT.NFL.NIFC.CD,1674,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest net lending (+) / net borrowing (-),World Bank,Government · GC.NLD.TOTL.CN,1675,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest grants and other revenue,World Bank,Government · GC.REV.GOTR.CN,1676,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Ireland",World Bank,Economy · DC.DAC.IRLL.CD,1678,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Norway",World Bank,Economy · DC.DAC.NORL.CD,1679,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pPG, private creditors",World Bank,Economy · DT.NFL.PRVT.CD,1680,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Most internally displaced people,UNHCR,Displacement · population:coa:idps,1682,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of geese, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21123:5424,1683,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Pigeon peas, dry harvested area",FAOSTAT,Livestock · QCL:'01707:5312,1684,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of buffalo, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21112:5510,1685,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Longest average working week,ILOSTAT,Labor · HOW_UEES_SEX_NB_A,1687,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most researchers per million people,UNESCO UIS,Science · RESDEN.INHAB.TFTE,1688,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net official flows from UN agencies, UNDP",World Bank,Economy · DT.NFL.UNDP.CD,1689,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, IFAD",World Bank,Economy · DT.NFL.IFAD.CD,1691,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest commercial banks and other lending (PPG + PNG),World Bank,Economy · DT.NFL.PCBO.CD,1692,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pPG, commercial banks",World Bank,Economy · DT.NFL.PCBK.CD,1693,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net flows on external debt, private nonguaranteed (PNG)",World Bank,Economy · DT.NFL.DPNG.CD,1694,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest Raw hides and skins of buffaloes yield,FAOSTAT,Livestock · QCL:'02951.03:5417,1695,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most buffalo fat, unrendered produced",FAOSTAT,Livestock · QCL:'21513:5510,1696,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most edible offal of buffalo, fresh, chilled or frozen produced",FAOSTAT,Livestock · QCL:'21152:5510,1697,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most raw hides and skins of buffaloes produced,FAOSTAT,Livestock · QCL:'02951.03:5510,1698,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest school electricity access,UNESCO UIS,Infrastructure · SCHBSP.1.WELEC,1701,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net bilateral aid flows from DAC donors, Belgium",World Bank,Economy · DC.DAC.BELL.CD,1704,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Luxembourg",World Bank,Economy · DC.DAC.LUXL.CD,1705,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pNG, commercial banks and other creditors",World Bank,Economy · DT.NFL.PNGC.CD,1706,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net financial flows, RDB nonconcessional",World Bank,Economy · DT.NFL.RDBN.CD,1708,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA debt policy rating,World Bank,Government · IQ.CPA.DEBT.XQ,1709,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA fiscal policy rating,World Bank,Government · IQ.CPA.FISP.XQ,1710,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA macroeconomic management rating,World Bank,Government · IQ.CPA.MACR.XQ,1711,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA quality of public administration rating,World Bank,Government · IQ.CPA.PADM.XQ,1712,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Most flax, raw or retted produced",FAOSTAT,Agriculture · QCL:'01929.01:5510,1713,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of geese, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21123:5510,1714,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Flax, raw or retted harvested area",FAOSTAT,Agriculture · QCL:'01929.01:5312,1715,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest school drinking-water access,UNESCO UIS,Infrastructure · SCHBSP.1.WWATA,1720,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest school handwashing access,UNESCO UIS,Infrastructure · SCHBSP.1.WWASH,1721,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest taxes on international trade,World Bank,Government · GC.TAX.INTT.CN,1724,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Hungary",World Bank,Economy · DC.DAC.HUNL.CD,1726,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Denmark",World Bank,Economy · DC.DAC.DNKL.CD,1727,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, WFP",World Bank,Economy · DT.NFL.WFPG.CD,1728,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest individuals using the Internet, female",World Bank,Infrastructure · IT.NET.USER.FE.ZS,1729,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest individuals using the Internet, male",World Bank,Infrastructure · IT.NET.USER.MA.ZS,1730,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest cPIA building human resources rating,World Bank,Government · IQ.CPA.HRES.XQ,1732,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA efficiency of revenue mobilization rating,World Bank,Government · IQ.CPA.REVN.XQ,1733,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA equity of public resource use rating,World Bank,Government · IQ.CPA.PRES.XQ,1734,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA financial sector rating,World Bank,Government · IQ.CPA.FINS.XQ,1735,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA gender equality rating,World Bank,Government · IQ.CPA.GNDR.XQ,1736,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA property rights and rule-based governance rating,World Bank,Government · IQ.CPA.PROP.XQ,1737,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA quality of budgetary and financial management rating,World Bank,Government · IQ.CPA.FINQ.XQ,1738,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA social protection rating,World Bank,Government · IQ.CPA.PROT.XQ,1739,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pPG, IBRD",World Bank,Economy · DT.DOD.MIBR.CD,1742,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Most cheese from milk of buffalo, fresh or processed produced",FAOSTAT,Livestock · QCL:'22252:5510,1743,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest average time to clear imports through customs,World Bank,Development · IC.CUS.DURS.IM,1766,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest time required to obtain an operating license,World Bank,Economy · IC.FRM.DURS,1767,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Largest number of visits or required meetings with tax officials,World Bank,Economy · IC.TAX.METG,1768,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest time to obtain an electrical connection,World Bank,Energy · IC.ELC.DURS,1770,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, SPRP",World Bank,Development · DT.NFL.SPRP.CD,1771,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, UNAIDS",World Bank,Economy · DT.NFL.UNAI.CD,1772,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest customs and other import duties,World Bank,Government · GC.TAX.IMPT.CN,1773,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Finland",World Bank,Economy · DC.DAC.FINL.CD,1774,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Most refugees returned home,UNHCR,Displacement · solutions:coo:returned_refugees,1775,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net official flows from UN agencies, UNWOMEN",World Bank,Development · DT.NFL.UNWN.CD,1776,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Netherlands",World Bank,Economy · DC.DAC.NLDL.CD,1777,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest social contributions,World Bank,Government · GC.REV.SOCL.CN,1778,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA business regulatory environment rating,World Bank,Government · IQ.CPA.BREG.XQ,1779,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA policy and institutions for environmental sustainability rating,World Bank,Government · IQ.CPA.ENVR.XQ,1780,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Largest average time to clear exports through customs,World Bank,Economy · IC.CUS.DURS.EX,1781,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest school sanitation access,UNESCO UIS,Infrastructure · SCHBSP.1.WTOILA,1783,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
